6775675489,155,332,155,57,
6777793007,149,269,149,38,
6778529076,119,249,119,54,
6778248484,171,402,171,93,
6743348750,246,474,246,148,
6746558612,350,609,350,127,
6745485685,423,650,423,163,
6746375516,389,514,389,86,
6717048478,381,718,381,191,
6719506214,475,656,475,129,
6742315630,405,651,405,114,
6735908937,363,682,363,121,
6737283192,434,756,434,102,
6735515932,477,756,477,108,
6738224850,306,595,306,67,
6747391042,408,624,408,127,
6746525880,551,657,551,123,
6749730651,406,924,406,182,
6738673270,448,883,448,151,
6744725260,441,586,441,127,
6744044410,404,573,404,136,
6702868582,411,442,411,267,
6739336009,467,593,467,134,
6741307968,312,790,312,211,
6735136323,317,1035,317,172,
6743884844,382,571,382,178,
6739751628,299,503,299,117,
6745032793,296,471,296,139,
6746644822,367,526,367,155,
6728821061,490,544,490,200,
6169892928,345,559,345,125,
5942994188,306,482,306,88,
5869995980,390,641,390,133,
5830350501,578,636,578,286,
5880428528,364,816,364,151,
5915237766,293,840,293,143,
5338341706,265,697,265,175,
5582735726,301,807,301,217,
5884350328,219,417,219,139,
5919264449,274,592,274,157,
5895101394,249,589,249,140,
5910240892,259,441,259,141,
5912773058,354,646,354,131,
5970924728,424,491,424,198,
5882523920,294,726,294,127,
5913693565,235,682,235,153,
5862603338,384,808,384,240,
5876641626,337,932,337,165,
5913409532,458,1204,458,136,
5882975161,510,667,510,106,
5909155032,370,828,370,116,
5906830131,460,733,460,123,
5843997104,513,968,513,145,
5856607930,569,877,569,166,
5892203344,572,749,572,136,
5897328394,573,895,573,77,
5880741832,502,845,502,66,
5860172954,750,1025,750,231,
5971893185,499,598,499,118,
5853516858,435,509,435,123,
5882548514,460,762,460,118,
5873690874,466,629,466,120,
5919742490,486,560,486,100,
5908352690,346,639,346,93,
5894785263,379,695,379,166,
5902397954,393,555,393,127,
5905589522,318,647,318,137,
5884053250,464,889,464,195,
5861777358,341,886,341,138,
5868202302,528,700,528,117,
5898442347,422,421,422,144,
5920229798,261,367,261,104,
5908366346,260,695,260,115,
5924500454,390,494,390,129,
5918013856,247,559,247,112,
5973834797,307,688,307,105,
5870923057,303,721,303,123,
5912176128,297,398,297,155,
5922061552,263,451,263,130,
5904022684,273,757,273,114,
5927601138,199,707,199,103,
5912856168,273,645,273,128,
5921648819,281,430,281,104,
5924215472,265,477,265,150,
5923755202,319,758,319,140,
5917581728,277,398,277,141,
5913577614,350,566,350,91,
5900644882,370,644,370,124,
5891903933,467,623,467,133,
5968707944,395,581,395,103,
5883696836,393,657,393,119,
5968004384,423,505,423,132,
5838542850,385,609,385,113,
5909008600,404,667,404,121,
5871001003,457,674,457,117,
5901768042,462,716,462,145,
5365951344,680,923,680,244,
5562796284,435,867,435,192,
5833644764,431,511,431,135,
5899078260,307,827,307,130,
5897938835,438,856,438,98,
5910906654,269,567,269,129,
5909596162,332,801,332,154,
5915212660,449,753,449,163,
5887393054,279,607,279,125,
5853594328,326,709,326,171,
5856389303,412,464,412,278,
5843779028,324,446,324,200,
5884471440,258,790,258,149,
5902175726,330,608,330,218,
5881482644,296,445,296,151,
5896055430,220,684,220,131,
5829290111,319,488,319,201,
5878958410,202,466,202,123,
5897306708,396,717,396,159,
5911730584,281,503,281,151,
5918551622,317,603,317,113,
5882785444,276,658,276,131,
5824854324,410,832,410,232,
5847648759,343,730,343,140,
5863536386,246,599,246,124,
5835618692,282,776,282,153,
5874760030,293,421,293,116,
5863836970,215,721,215,99,
5877232740,316,730,316,113,
5858772869,239,644,239,132,
5858419448,587,902,587,134,
5833260121,1115,709,1115,314,
5816185844,956,687,956,330,
5820660322,1186,820,1186,280,
5816595224,1003,630,1003,237,
5797454535,1297,1048,1297,361,
5846225682,1066,723,1066,305,
5859256546,853,571,853,249,
5883259486,874,610,874,190,
5851493226,969,578,969,332,
5872058220,1072,659,1072,316,
5820323859,873,906,873,295,
5826417364,912,612,912,307,
5834883138,1032,889,1032,264,
5869996248,826,569,826,265,
5815159068,1227,701,1227,380,
5875405038,445,423,445,180,
5852112773,298,762,298,181,
5868918395,349,731,349,195,
5876640958,175,528,175,108,
5842207264,187,369,187,96,
5802584588,385,609,385,159,
5846088616,314,572,314,96,
5834655765,359,709,359,135,
5821447444,243,707,243,120,
5876491998,150,289,150,115,
5906756720,202,358,202,121,
5787694849,337,947,337,236,
5885816106,213,548,213,131,
5875330525,177,250,177,136,
5300308620,177,493,177,116,
5526615978,186,473,186,145,
5825540158,194,265,194,125,
5894864870,175,553,175,133,
5888906822,191,590,191,136,
